Miesi¹c,Dane,PM1,PM2.5,PM10,Temperatura,Ciœnienie,Wilgotnoœæ
,statystyczne,,,,,,
Listopad,Œrednia,49.28,82.46,101.58,8.14,1011.96,64.82
2021,,,,,,,
,Odchylenie,13.7,25,26.9,14,95.7,8.9
,standardowe,,,,,,
,Wartoœci,0,0,0,3.88,-241.33,30.95
,minimalne,,,,,,
,Wartoœci,91,170,202,187.14,1020.79,100
,maksymalne,,,,,,
Grudzieñ,Œrednia,35.88,58.84,74.48,8.35,979.28,74.48
2021,,,,,,,
,Odchylenie,17.67,33.61,41.45,31.45,212.25,11.14
,standardowe,,,,,,
,Wartoœci,0,0,0,-11.13,-242.97,0
,minimalne,,,,,,
,Wartoœci,224,581,854,187.14,1307.65,100
,maksymalne,,,,,,
Styczeñ,Œrednia,25.32,39.65,50.4,1.9,1022.98,70.76
2022,,,,,,,
,Odchylenie,15.41,27.09,34.51,3.53,9.83,10.49
,standardowe,,,,,,
,Wartoœci,0,0,0,-6.33,994.32,24.32
,minimalne,,,,,,
,Wartoœci,141,332,450,14.19,1038.8,93.93
,maksymalne,,,,,,
Luty,Œrednia,22.59,35.09,44.28,3.81,1018.13,66.43
2022,,,,,,,
,Odchylenie,16.05,27.89,35.25,7.79,47.02,13.23
,standardowe,,,,,,
,Wartoœci,0,0,0,-142.59,-242.1,0
,minimalne,,,,,,
,Wartoœci,224,490,608,187.14,1303.55,100
,maksymalne,,,,,,
Marzec,Œrednia,26.47,41.58,52.01,5.25,1022.14,57.05
2022,,,,,,,
,Odchylenie,17.7,31.7,39.57,8.11,38.03,19.39
,standardowe,,,,,,
,Wartoœci,0,0,0,-142.59,-242.1,0
,minimalne,,,,,,
,Wartoœci,286,702,948,187.14,1303.55,100
,maksymalne,,,,,,
